Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.6678		0.6515		0.4411		0.4647		0.00050000
2		0.5428		0.5538		0.5724		0.5955		0.00049910
3		0.4590		0.5205		0.6330		0.6301		0.00049820
4		0.4139		0.4649		0.6755		0.6666		0.00049730
5		0.3774		0.4955		0.7122		0.6509		0.00049640
6		0.3536		0.4361		0.7301		0.6936		0.00049550
7		0.3317		0.4042		0.7501		0.7186		0.00049460
8		0.3119		0.4139		0.7683		0.7164		0.00049370
9		0.2875		0.3488		0.7900		0.7958		0.00049279
10		0.2698		0.3252		0.8038		0.7897		0.00049189
11		0.2514		0.3226		0.8234		0.7888		0.00049099
12		0.2431		0.2811		0.8244		0.8258		0.00049009
13		0.2257		0.2842		0.8401		0.8175		0.00048919
14		0.2109		0.2808		0.8490		0.8323		0.00048828
15		0.2021		0.2387		0.8548		0.8542		0.00048738
16		0.1979		0.2584		0.8576		0.8474		0.00048648
17		0.1870		0.2472		0.8685		0.8524		0.00048558
18		0.1741		0.2689		0.8805		0.8362		0.00048467
19		0.1689		0.2555		0.8800		0.8423		0.00048377
20		0.1583		0.2580		0.8907		0.8423		0.00048287
21		0.1657		0.2256		0.8781		0.8623		0.00048196
22		0.1507		0.2474		0.8938		0.8454		0.00048106
23		0.1366		0.2289		0.9055		0.8519		0.00048016
24		0.1296		0.2164		0.9079		0.8594		0.00047925
25		0.1313		0.2312		0.9061		0.8522		0.00047835
26		0.1349		0.2201		0.9044		0.8556		0.00047744
27		0.1177		0.2513		0.9168		0.8343		0.00047654
28		0.1128		0.2195		0.9204		0.8612		0.00047563
29		0.1064		0.2201		0.9261		0.8598		0.00047473
30		0.1122		0.2329		0.9204		0.8537		0.00047382
31		0.0969		0.1968		0.9319		0.8712		0.00047292
32		0.0965		0.2162		0.9323		0.8632		0.00047201
33		0.0883		0.2152		0.9381		0.8632		0.00047111
34		0.0927		0.2665		0.9341		0.8401		0.00047020
35		0.0885		0.2042		0.9377		0.8621		0.00046929
36		0.0804		0.2679		0.9438		0.8462		0.00046839
37		0.0749		0.2422		0.9484		0.8546		0.00046748
38		0.0733		0.2583		0.9488		0.8499		0.00046657
39		0.0707		0.2390		0.9511		0.8504		0.00046567
40		0.0725		0.2883		0.9493		0.8335		0.00046476
41		0.0651		0.2317		0.9545		0.8612		0.00046385
42		0.0630		0.3043		0.9557		0.8397		0.00046294
43		0.0618		0.2845		0.9569		0.8468		0.00046204
44		0.0584		0.2644		0.9588		0.8508		0.00046113
45		0.0585		0.2957		0.9578		0.8390		0.00046022
46		0.0563		0.2674		0.9597		0.8494		0.00045931
47		0.0556		0.2885		0.9600		0.8456		0.00045840
48		0.0584		0.2713		0.9575		0.8488		0.00045749
49		0.0579		0.2390		0.9583		0.8617		0.00045658
50		0.0532		0.2748		0.9613		0.8522		0.00045568
51		0.0497		0.2419		0.9633		0.8710		0.00045477
52		0.0536		0.2229		0.9611		0.8778		0.00045386
53		0.0503		0.2059		0.9623		0.8814		0.00045295
54		0.0509		0.2310		0.9625		0.8712		0.00045204
55		0.0469		0.2984		0.9656		0.8468		0.00045113
56		0.0465		0.2384		0.9657		0.8654		0.00045022
57		0.0476		0.3554		0.9648		0.8284		0.00044931
58		0.0445		0.3829		0.9663		0.8201		0.00044839
59		0.0424		0.2417		0.9683		0.8723		0.00044748
60		0.0442		0.2879		0.9675		0.8516		0.00044657
61		0.0427		0.3079		0.9683		0.8472		0.00044566
62		0.0419		0.2909		0.9687		0.8589		0.00044475
63		0.0428		0.2836		0.9672		0.8565		0.00044384
64		0.0408		0.2800		0.9687		0.8630		0.00044293
65		0.0424		0.3744		0.9674		0.8323		0.00044201
66		0.0390		0.3258		0.9706		0.8350		0.00044110
67		0.0380		0.2385		0.9712		0.8714		0.00044019
68		0.0373		0.2785		0.9715		0.8657		0.00043927
69		0.0374		0.4240		0.9711		0.8283		0.00043836
70		0.0372		0.2899		0.9712		0.8665		0.00043745
71		0.0445		0.3252		0.9656		0.8609		0.00043653
72		0.0416		0.2709		0.9682		0.8681		0.00043562
73		0.0382		0.3461		0.9705		0.8532		0.00043471
74		0.0391		0.3210		0.9700		0.8584		0.00043379
75		0.0364		0.3616		0.9722		0.8340		0.00043288
76		0.0356		0.4865		0.9721		0.7775		0.00043196
77		0.0379		0.3379		0.9707		0.8447		0.00043105
78		0.0511		0.2782		0.9614		0.8374		0.00043013
79		0.0438		0.3196		0.9656		0.8519		0.00042922
80		0.0352		0.2630		0.9731		0.8630		0.00042830
81		0.0338		0.2511		0.9740		0.8688		0.00042739
82		0.0334		0.2923		0.9738		0.8645		0.00042647
83		0.0321		0.2568		0.9751		0.8835		0.00042555
